Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1623-5005,NRAD,3.239196e+05,8.507215e-02,4.161177e-15,6.020766e+11,,,,,,,,,,,,,,,,,,
J1624-4041,NRAD,5.628912e+05,1.678611e-01,4.724890e-15,9.011995e+11,,,,,,,,,,,,,,,,,,
J1627+3219,NRAD,6.313913e+09,2.182834e-03,5.477572e-21,1.106508e+08,,,,,,,,,ELL1,,,,,,,,,
J1634+02,NRAD,,2.120000e-03,,,,,,,,,,,,,,,,,,,,
J1640-4631,NRAD,3.351431e+03,2.064430e-01,9.759690e-13,1.436376e+13,,,3.383204e+02,-1.696127e-02,1.275000e+01,,,,,,,,,,,,,
J1641-5317,NRAD,7.496102e+05,1.751063e-01,3.701112e-15,8.146423e+11,,,,,,,,,,,,,,,,,,
J1649-3012,NRAD,4.094494e+09,3.424423e-03,1.325114e-20,2.155611e+08,,,,,,,,,,,,,,,,,,
J1650-4601,NRAD,1.329933e+05,1.271229e-01,1.514467e-14,1.404080e+12,,,,,,,,,,,,,,,,,,
J1653-0158,NRAD,1.297920e+10,1.967682e-03,2.402000e-21,6.956871e+07,,,1.661471e+01,2.493545e+01,8.400000e-01,,,7.943388e+01,ELL1,,,,,,,,,
J1714-3830,NRAD,,8.414000e-02,,,,,,,,,,,,,,,,,,,,
J1716+34,NRAD,,2.110000e-03,,,,,,,,,,,,,,,,,,,,
J1727-1609,NRAD,,2.450000e-03,,,,,,,,,,,,,,,,,,,,
J1736-3422,NRAD,8.388023e+04,3.472222e-01,6.558642e-14,4.829039e+12,,,,,,,,,,,,,,,,,,
J1742-3321,NRAD,1.789505e+06,1.432665e-01,1.268462e-15,4.313811e+11,,,,,,,,,,,,,,,,,,
J1744-7619,NRAD,7.673202e+09,4.687524e-03,9.679055e-21,2.155451e+08,,,,,,,,,,,,,,,,,,
J1746-3239,NRAD,4.818744e+05,1.995414e-01,6.560925e-15,1.157841e+12,,,,,,,,,,,,,,,,,,
J1748-2815,NRAD,4.492147e+05,1.002004e-01,3.534122e-15,6.021789e+11,,,,,,,,,,,,,,,,,,
J1803+1358,NRAD,,1.520000e-03,,,,,,,,,,,,,,,,,,,,
J1803-2149,NRAD,8.638960e+04,1.063341e-01,1.950190e-14,1.457218e+12,,,,,,,,,,,,,,,,,,
J1809-2332,NRAD,6.756759e+04,1.467885e-01,3.442071e-14,2.274605e+12,,,7.389926e+00,-1.995470e+00,8.800000e-01,,,1.119478e+02,,,,,,,,,,
J1811-1925,NRAD,2.328606e+04,6.466700e-02,4.400000e-14,1.706938e+12,,,1.118126e+01,-3.478549e-01,5.000000e+00,,,,,,,,,,,,,
J1813-1246,NRAD,4.336555e+04,4.807225e-02,1.756368e-14,9.298330e+11,,,1.724435e+01,2.444575e+00,2.635000e+00,,,,,,,,,,,,,
J1814+31,NRAD,,2.090000e-03,,,,,,,,,,,,,,,,,,,,
J1817-1742,NRAD,1.152783e+05,1.497440e-01,2.058107e-14,1.776473e+12,,,,,,,,,,,,,,,,,,
J1823-3543,NRAD,1.775513e+09,2.373309e-03,2.117856e-20,2.268691e+08,,,3.579277e+02,-1.031671e+01,3.711000e+00,8.168600e+01,,,ELL1,,,2.692839e-04,,,,,,
J1826-1256,NRAD,1.444147e+04,1.102386e-01,1.209452e-13,3.694972e+12,,,1.855563e+01,-3.773981e-01,1.550000e+00,,,,,,,,,,,,,
J1827-0849,NRAD,3.242665e+09,2.242470e-03,1.095697e-20,1.586202e+08,,,,,,,,,,,,,,,,,,
J1827-1446,NRAD,1.744593e+05,4.991866e-01,4.533514e-14,4.813921e+12,,,,,,,,,,,,,,,,,,
J1838-0537,NRAD,5.123737e+03,1.457545e-01,4.507141e-13,8.201844e+12,,,,,,,,,,,,,,,,,,
J1838-0655,NRAD,2.270279e+04,7.049824e-02,4.920000e-14,1.884611e+12,,,2.524592e+01,-1.955588e-01,6.600000e+00,,,,,,,,,,,,,
J1844-03,NRAD,,6.971300e+00,,,,,,,,,,,,,,,,,,,,
J1844-0346,NRAD,1.155810e+04,1.128546e-01,1.547031e-13,4.228236e+12,,,,,,,,,,,,,,,,,,
J1846+0919,NRAD,3.598646e+05,2.255521e-01,9.930561e-15,1.514469e+12,,,4.069278e+01,5.341725e+00,1.530000e+00,,,,,,,,,,,,,
J1846-0258,NRAD,7.279981e+02,3.265713e-01,7.107450e-12,4.875239e+13,,,2.971195e+01,-2.401165e-01,5.800000e+00,,,,,,,,,,,,,
J1849-0001,NRAD,4.311469e+04,3.852259e-02,1.415651e-14,7.472842e+11,,,,,,,,,,,,,,,,,,
J1852+0040,NRAD,1.915023e+08,1.049126e-01,8.680000e-18,3.053681e+10,,,3.366750e+01,3.841828e-02,1.000000e+01,,,,,,,,,,,,,
J1906+0722,NRAD,4.924874e+04,1.115241e-01,3.587895e-14,2.024204e+12,,,,,,,,,,,,,,,,,,
J1919+23,NRAD,,4.630000e-03,,,,,5.729974e+01,4.900566e+00,2.042000e+00,3.840000e+01,,,,,,,,,,,,
J1932+1916,NRAD,3.540795e+04,2.082176e-01,9.317144e-14,4.457077e+12,,,,,,,,,,,,,,,,,,
J1954+2836,NRAD,6.940976e+04,9.270905e-02,2.116253e-14,1.417408e+12,,,6.524418e+01,3.769166e-01,1.960000e+00,,,,,,,,,,,,,
J1957+5033,NRAD,8.383091e+05,3.748067e-01,7.083847e-15,1.648877e+12,,,8.458407e+01,1.101316e+01,1.365000e+00,,,,,,,,,,,,,
J1958+2846,NRAD,2.169871e+04,2.903892e-01,2.120375e-13,7.940477e+12,,,6.587936e+01,-3.530610e-01,1.950000e+00,,,,,,,,,,,,,
J2017+3625,NRAD,1.942842e+06,1.667492e-01,1.359854e-15,4.818678e+11,,,,,,,,,,,,,,,,,,
J2021+4026,NRAD,7.687499e+04,2.653177e-01,5.468234e-14,3.854399e+12,,,7.822514e+01,2.088907e+00,2.150000e+00,,,,,,,,,,,,,
J2028+3332,NRAD,5.763748e+05,1.767074e-01,4.857534e-15,9.375303e+11,,,,,,,,,,,,,,,,,,
J2030+4415,NRAD,5.548344e+05,2.270702e-01,6.484294e-15,1.227895e+12,,,8.234019e+01,2.885419e+00,7.200000e-01,,,,,,,,,,,,,
J2034+3632,NRAD,3.364710e+10,3.650301e-03,1.718886e-21,8.015634e+07,,,,,,,,,,,,,,,,,,
J2055+2539,NRAD,1.234192e+06,3.195614e-01,4.102396e-15,1.158633e+12,,,7.068772e+01,-1.252001e+01,6.200000e-01,,,,,,,,,,,,,
J2111+4606,NRAD,1.748235e+04,1.578299e-01,1.430393e-13,4.808088e+12,,,,,,,,,,,,,,,,,,
J2139+4716,NRAD,2.509670e+06,2.828493e-01,1.785684e-15,7.191671e+11,,,,,,,,,,,,,,,,,,
J2238+5903,NRAD,2.657179e+04,1.627339e-01,9.703382e-14,4.021152e+12,,,1.065621e+02,4.822863e-01,2.830000e+00,,,,,,,,,,,,,
